brand,batch_no,batch_start,mash_pH,final_runnings_pH,preboil_gravity,knockout_gravity,knockout_pH
bba,370,3/24/23 5:30,5.34,5.37,10.7,12.1,5.03
bba,370,3/24/23 9:03,5.18,5.22,11.3,12.2,5.06
bba,378,4/12/23 5:32,5.22,5.19,10.8,12,4.99
bba,378,4/12/23 9:18,5.22,5.27,11.3,11.9,5.04
bba,386,4/24/23 5:33,5.3,5.38,11.3,12.1,5.04
bba,386,4/24/23 9:33,5.18,5.38,11.7,12.4,5.12
bba,396,5/15/23 5:41,5.18,,10.9,12.3,5.06
bba,396,5/15/23 9:33,5.32,5.37,11.5,12,5.07
bba,402,5/31/23 5:11,5.35,5.24,11.6,12.1,4.95
bba,402,5/31/23 9:10,5.24,5.17,11.4,12.1,4.98
bba,409,6/12/23 5:41,5.32,5.38,10.6,12.3,5.05
bba,409,6/12/23 9:23,5.3,5.48,10.5,12.3,5.17
bba,412,6/19/23 5:31,5.23,5.31,11.2,12.3,4.93
bba,412,6/19/23 9:17,5.26,5.19,12.1,12.3,5.05
bba,418,7/3/23 5:38,5.26,5.23,,12.5,4.99
bba,418,7/3/23 9:42,5.16,5.11,9.4,11.4,4.98
bba,426,7/14/23 5:36,5.08,5.18,11.2,12.2,4.88
bba,426,7/14/23 9:09,5.18,5.18,11.2,11.7,5
bba,427,7/19/23 5:32,5.2,5.23,11,12.5,4.97
bba,427,7/19/23 9:12,5.12,5.19,,12.3,5
bba,434,7/28/23 5:33,5.1,5.25,11.4,12.3,5.02
bba,434,7/28/23 9:30,5.21,5.1,12.2,12.6,5.02
bba,449,8/9/23 5:34,5.22,5.28,11.3,11.8,4.97
bba,449,8/9/23 8:59,5.3,5.3,11.6,12.6,5.1
bba,452,8/18/23 5:30,5.3,5.38,10.7,12.1,5.05
bba,452,8/18/23 9:07,5.3,5.29,11.7,12.2,5.12
bba,471,10/9/23 5:32,5.13,5.24,10.6,11.8,4.99
bba,471,10/9/23 9:13,5.3,5.25,10.9,12,5.09
bba,479,10/25/23 5:36,5.17,5.19,11.1,11.8,4.85
bba,479,10/25/23 9:19,5.16,5.1,10.7,11.8,4.96
bba,483,11/6/23 5:31,5.28,5.29,11,11.9,4.98
bba,483,11/6/23 9:23,5.31,5.13,11.3,11.9,5.08
bba,492,11/29/23 5:34,5.19,5.22,11.2,11.8,4.96
bba,492,11/29/23 9:20,5.34,5.16,11.3,11.9,5.12
bba,512,1/29/24 5:27,5.27,5.4,10.5,11,5
bba,512,1/29/24 9:01,5.27,5.22,11.3,12.4,5.05
bba,519,2/14/24 5:30,5.26,5.26,10.6,12.1,4.98
bba,519,2/14/24 9:07,5.24,5.31,10.5,11.9,5.04
bba,531,3/13/24 5:32,5.29,5.26,10.8,12,4.96
bba,531,3/13/24 9:23,5.28,5.44,10.6,12.2,5.07
bba,535,3/27/24 5:35,5.31,5.43,11.9,12.4,5.21
bba,535,3/27/24 9:10,5.29,5.3,10.8,11.8,5.15
bba,539,4/3/24 5:30,5.24,5.28,10.8,12.3,4.94
bba,539,4/3/24 9:15,5.15,5.31,11,12.1,5.12
bba,548,4/19/24 5:25,5.24,5.35,11.4,12.3,4.98
bba,548,4/19/24 9:05,5.08,5.37,11.5,12.3,5.08
